ORACLE_SP, INFORMATICA_FOLDER, INFORMATICA_WORKFLOW, ABAC_PROC_ID, ABAC_PROC_NM, ABAC_PROPERTY_NAMESPACE, ABAC_PROPERTY_NAME, ABAC_PROPERTY_VALUE
N/A, edw_atomic, w_usg_sess_p, 1717, edw_usg_sess_post_tods_049, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1718, edw_usg_sess_post_tods_050, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1718, edw_usg_sess_post_tods_050, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1718, edw_usg_sess_post_tods_050, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1718, edw_usg_sess_post_tods_050, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1719, edw_usg_sess_post_tods_051, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1719, edw_usg_sess_post_tods_051, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1719, edw_usg_sess_post_tods_051, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1719, edw_usg_sess_post_tods_051, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1720, edw_usg_sess_post_tods_052, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1720, edw_usg_sess_post_tods_052, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1720, edw_usg_sess_post_tods_052, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1720, edw_usg_sess_post_tods_052, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1721, edw_usg_sess_post_tods_053, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1721, edw_usg_sess_post_tods_053, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1721, edw_usg_sess_post_tods_053, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1721, edw_usg_sess_post_tods_053, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1722, edw_usg_sess_post_tods_054, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1722, edw_usg_sess_post_tods_054, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1722, edw_usg_sess_post_tods_054, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1722, edw_usg_sess_post_tods_054, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1723, edw_usg_sess_post_tods_055, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1723, edw_usg_sess_post_tods_055, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1723, edw_usg_sess_post_tods_055, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1723, edw_usg_sess_post_tods_055, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1724, edw_usg_sess_post_tods_056, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1724, edw_usg_sess_post_tods_056, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1724, edw_usg_sess_post_tods_056, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1724, edw_usg_sess_post_tods_056, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1725, edw_usg_sess_post_tods_057, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1725, edw_usg_sess_post_tods_057, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1725, edw_usg_sess_post_tods_057, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1725, edw_usg_sess_post_tods_057, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1726, edw_usg_sess_post_tods_058, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1726, edw_usg_sess_post_tods_058, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1726, edw_usg_sess_post_tods_058, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1726, edw_usg_sess_post_tods_058, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1727, edw_usg_sess_post_tods_059, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1727, edw_usg_sess_post_tods_059, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1727, edw_usg_sess_post_tods_059, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1727, edw_usg_sess_post_tods_059, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1728, edw_usg_sess_post_tods_060, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1728, edw_usg_sess_post_tods_060, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1728, edw_usg_sess_post_tods_060, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1728, edw_usg_sess_post_tods_060, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1729, edw_usg_sess_post_tods_061, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1729, edw_usg_sess_post_tods_061, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1729, edw_usg_sess_post_tods_061, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1729, edw_usg_sess_post_tods_061, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1730, edw_usg_sess_post_tods_062, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1730, edw_usg_sess_post_tods_062, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1730, edw_usg_sess_post_tods_062, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1730, edw_usg_sess_post_tods_062, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1731, edw_usg_sess_post_tods_063, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1731, edw_usg_sess_post_tods_063, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1731, edw_usg_sess_post_tods_063, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1731, edw_usg_sess_post_tods_063, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1732, edw_usg_sess_post_tods_064, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1732, edw_usg_sess_post_tods_064, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1732, edw_usg_sess_post_tods_064, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1732, edw_usg_sess_post_tods_064, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1733, edw_usg_sess_post_tods_065, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1733, edw_usg_sess_post_tods_065, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1733, edw_usg_sess_post_tods_065, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1733, edw_usg_sess_post_tods_065, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1734, edw_usg_sess_post_tods_066, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1734, edw_usg_sess_post_tods_066, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1734, edw_usg_sess_post_tods_066, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1734, edw_usg_sess_post_tods_066, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1735, edw_usg_sess_post_tods_067, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1735, edw_usg_sess_post_tods_067, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1735, edw_usg_sess_post_tods_067, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1735, edw_usg_sess_post_tods_067, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1736, edw_usg_sess_post_tods_068, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1736, edw_usg_sess_post_tods_068, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1736, edw_usg_sess_post_tods_068, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1736, edw_usg_sess_post_tods_068, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1737, edw_usg_sess_post_tods_069, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1737, edw_usg_sess_post_tods_069, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1737, edw_usg_sess_post_tods_069, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1737, edw_usg_sess_post_tods_069, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1738, edw_usg_sess_post_tods_070, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1738, edw_usg_sess_post_tods_070, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1738, edw_usg_sess_post_tods_070, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1738, edw_usg_sess_post_tods_070, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1739, edw_usg_sess_post_tods_071, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1739, edw_usg_sess_post_tods_071, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1739, edw_usg_sess_post_tods_071, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1739, edw_usg_sess_post_tods_071, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1740, edw_usg_sess_post_tods_072, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1740, edw_usg_sess_post_tods_072, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
